,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
2686,19,25000.0,1.0,2.0,6.0,0.0,0.5,-40.0,-30.0,-60.0,-30.0,-40.0,-10.0,0,18-20,"Below N50,000",Bank B,Male,Bank A,Abeokuta,No Formal Education,Student,Yes,Bank A,Bank B
2687,19,25000.0,7.0,2.0,6.0,0.0,0.5,-60.0,-20.0,50.0,-10.0,10.0,0.0,0,18-20,"Below N50,000",Bank A,Male,Bank A,Abeokuta,No Formal Education,Student,Yes,Bank A,Bank B
2688,38,75000.0,8.0,6.0,6.0,30.0,30.0,70.0,30.0,60.0,0.0,0.0,0.0,1,36-40,"N50,000 - N100,000",Bank H,Male,Bank H,Abeokuta,OND/HND,Private Sector Employee,No,,
2689,38,75000.0,2.0,6.0,6.0,30.0,30.0,70.0,50.0,60.0,50.0,0.0,0.0,1,36-40,"N50,000 - N100,000",Bank A,Male,Bank H,Abeokuta,OND/HND,Private Sector Employee,No,,
2690,38,75000.0,4.0,6.0,6.0,30.0,30.0,90.0,10.0,0.0,30.0,0.0,0.0,1,36-40,"N50,000 - N100,000",Bank D,Male,Bank H,Abeokuta,OND/HND,Private Sector Employee,No,,
2692,65,75000.0,16.0,30.0,6.0,2.0,30.0,110.0,20.0,100.0,30.0,60.0,10.0,2,Above 60,"N50,000 - N100,000",Bank O,Female,Bank O,Abeokuta,PHD,Self Employed,No,,
2693,65,75000.0,13.0,6.0,6.0,2.0,2.0,110.0,50.0,140.0,20.0,20.0,10.0,2,Above 60,"N50,000 - N100,000",Bank N,Female,Bank N,Abeokuta,PHD,Retired,No,,
2694,33,175000.0,3.0,6.0,6.0,0.0,0.5,50.0,20.0,60.0,20.0,40.0,20.0,3,31-35,"N101,000 - N250,000",Bank O,Male,Bank O,Abeokuta,OND/HND,Self Employed,No,,
2695,33,175000.0,7.0,6.0,6.0,0.0,0.5,60.0,40.0,120.0,40.0,30.0,10.0,3,31-35,"N101,000 - N250,000",Bank H,Male,Bank O,Abeokuta,OND/HND,Self Employed,No,,
2696,25.5,75000.0,2.0,2.0,30.0,0.0,0.0,16.0,-8.0,27.0,0.0,9.0,0.0,0,21-30,"N50,000 - N100,000",Bank H,Female,Bank H,Abeokuta,OND/HND,Self Employed,No,,
2697,19,25000.0,2.0,0.5,2.0,0.0,0.0,26.0,20.0,50.0,15.0,8.0,12.0,0,18-20,"Below N50,000",Bank O,Male,Bank O,Abeokuta,Secondary school leaving certificate,Student,No,,
2698,19,25000.0,2.0,0.5,2.0,0.0,0.0,70.0,20.0,40.0,15.0,8.0,6.0,0,18-20,"Below N50,000",Bank A,Male,Bank O,Abeokuta,Secondary school leaving certificate,Student,No,,
2700,33,25000.0,6.0,2.0,6.0,0.0,0.5,25.0,17.0,52.0,24.0,0.0,16.0,0,31-35,"Below N50,000",Bank F,Male,Bank F,Abeokuta,OND/HND,Self Employed,No,,
2701,25.5,25000.0,1.0,2.0,6.0,0.0,0.5,30.0,0.0,-27.0,16.0,24.0,8.0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Abeokuta,OND/HND,Student,No,,
2702,25.5,25000.0,5.0,0.5,2.0,0.0,2.0,-20.0,30.0,80.0,30.0,0.0,10.0,0,21-30,"Below N50,000",Bank H,Male,Bank H,Abeokuta,OND/HND,Student,No,,
2706,25.5,25000.0,3.0,30.0,2.0,0.5,2.0,0.0,-19.0,-7.0,2.0,2.0,-16.0,0,21-30,"Below N50,000",Bank H,Male,Bank H,Abeokuta,OND/HND,Student,No,,
2709,25.5,25000.0,6.0,0.5,2.0,0.5,0.0,120.0,20.0,130.0,10.0,30.0,30.0,3,21-30,"Below N50,000",Bank C,Male,Bank C,Abeokuta,Bachelor's Decree,Unemployed,No,,
2710,38,375000.0,5.0,2.0,6.0,0.0,0.0,-24.0,0.0,-16.0,0.0,7.0,7.0,0,36-40,"N251,000 - N500,000",Bank H,Male,Bank H,Abeokuta,Master's Degree,Self Employed,No,,
2711,19,25000.0,2.0,6.0,6.0,0.0,0.0,19.0,0.0,30.0,16.0,0.0,16.0,0,18-20,"Below N50,000",Bank C,Female,Bank C,Abeokuta,Secondary school leaving certificate,Student,No,,
2712,25.5,75000.0,4.0,0.5,2.0,0.0,0.0,-24.0,0.0,-27.0,0.0,-12.0,0.0,0,21-30,"N50,000 - N100,000",Bank H,Male,Bank H,Abeokuta,Bachelor's Decree,Student,Yes,Bank H,Bank C
2714,33,75000.0,6.0,2.0,6.0,0.0,0.0,33.0,12.0,49.0,15.0,30.0,0.0,0,31-35,"N50,000 - N100,000",Bank B,Female,Bank B,Abeokuta,OND/HND,Civil/Public Servant,No,,
2715,33,75000.0,6.0,2.0,6.0,0.5,0.0,22.0,22.0,76.0,34.0,43.0,0.0,3,31-35,"N50,000 - N100,000",Bank A,Male,Bank H,Abeokuta,OND/HND,Self Employed,No,,
2716,33,75000.0,3.0,2.0,6.0,0.5,0.0,20.0,0.0,55.0,25.0,9.0,-7.0,0,31-35,"N50,000 - N100,000",Bank H,Male,Bank H,Abeokuta,OND/HND,Self Employed,No,,
2717,33,25000.0,2.0,6.0,6.0,0.5,6.0,-4.0,0.0,-5.0,-1.0,-4.0,-4.0,0,31-35,"Below N50,000",Bank L,Male,,Abeokuta,Bachelor's Decree,Private Sector Employee,Yes,Bank Q,Bank B
2718,33,25000.0,3.0,6.0,6.0,0.5,6.0,-8.0,0.0,-5.0,-5.0,4.0,-4.0,0,31-35,"Below N50,000",Bank Q,Male,,Abeokuta,Bachelor's Decree,Private Sector Employee,Yes,Bank Q,Bank B
2719,33,25000.0,1.0,6.0,6.0,0.5,6.0,-4.0,0.0,-6.0,-5.0,4.0,-4.0,0,31-35,"Below N50,000",Bank J,Male,,Abeokuta,Bachelor's Decree,Private Sector Employee,Yes,Bank Q,Bank B
2720,33,25000.0,1.0,6.0,6.0,0.5,6.0,-4.0,0.0,-12.0,-4.0,0.0,-4.0,0,31-35,"Below N50,000",Bank K,Male,,Abeokuta,Bachelor's Decree,Private Sector Employee,Yes,Bank Q,Bank B
2764,25.5,25000.0,3.0,0.5,2.0,0.5,6.0,0.0,40.0,67.0,20.0,20.0,10.0,0,21-30,"Below N50,000",Bank D,Male,Bank H,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2765,25.5,25000.0,1.0,0.5,2.0,0.5,6.0,20.0,0.0,67.0,20.0,20.0,10.0,0,21-30,"Below N50,000",Bank H,Male,Bank H,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2807,38,175000.0,21.0,2.0,6.0,0.5,0.0,45.0,30.0,93.0,20.0,29.0,0.0,2,36-40,"N101,000 - N250,000",Bank G,Female,Bank G,Abuja,Master's Degree,Civil/Public Servant,No,,
2813,50.5,375000.0,5.0,2.0,2.0,0.0,0.0,21.0,21.0,42.0,14.0,14.0,7.0,2,41-60,"N251,000 - N500,000",Bank N,Female,Bank N,Abuja,Bachelor's Decree,Retired,No,,
2816,38,75000.0,15.0,6.0,6.0,0.5,0.0,28.0,40.0,40.0,20.0,0.0,10.0,2,36-40,"N50,000 - N100,000",Bank B,Male,Bank B,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
2835,38,750000.0,15.0,6.0,6.0,0.5,6.0,40.0,20.0,110.0,40.0,20.0,10.0,2,36-40,"N501,000 - N1 Million",Bank A,Female,Bank A,Abuja,Master's Degree,Civil/Public Servant,No,,
2836,38,750000.0,5.0,6.0,6.0,0.5,6.0,50.0,40.0,110.0,30.0,20.0,10.0,2,36-40,"N501,000 - N1 Million",Bank B,Female,Bank A,Abuja,Master's Degree,Civil/Public Servant,No,,
2837,38,75000.0,10.0,0.5,2.0,0.5,0.0,31.0,20.0,42.0,20.0,20.0,10.0,0,36-40,"N50,000 - N100,000",Bank B,Female,Bank B,Abuja,Master's Degree,Civil/Public Servant,No,,
2838,50.5,750000.0,12.0,2.0,6.0,0.5,0.5,10.0,-40.0,-40.0,10.0,-20.0,-30.0,2,41-60,"N501,000 - N1 Million",Bank A,Male,Bank A,Abuja,Master's Degree,Civil/Public Servant,No,,
2839,50.5,750000.0,12.0,2.0,6.0,0.5,0.5,30.0,-40.0,-30.0,10.0,10.0,-30.0,2,41-60,"N501,000 - N1 Million",Bank L,Male,Bank A,Abuja,Master's Degree,Civil/Public Servant,No,,
2840,65,750000.0,10.0,2.0,6.0,0.5,0.0,1.0,-48.0,63.0,57.0,-16.0,-20.0,2,Above 60,"N501,000 - N1 Million",Bank C,Female,,Abuja,No Response,Others,No,,
2841,65,750000.0,15.0,2.0,6.0,0.5,0.0,14.0,24.0,51.0,19.0,-7.0,-20.0,2,Above 60,"N501,000 - N1 Million",Bank A,Female,,Abuja,No Response,Others,No,,
2844,50.5,375000.0,5.0,0.5,6.0,0.5,0.5,0.0,-20.0,30.0,0.0,-10.0,-10.0,0,41-60,"N251,000 - N500,000",Bank B,Male,Bank A,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
2845,50.5,375000.0,12.0,0.5,6.0,0.5,0.5,0.0,-20.0,40.0,0.0,-10.0,-10.0,2,41-60,"N251,000 - N500,000",Bank A,Male,Bank A,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
2865,50.5,175000.0,3.0,2.0,2.0,0.5,0.5,52.0,20.0,10.0,40.0,20.0,0.0,2,41-60,"N101,000 - N250,000",Bank J,Male,Bank J,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
2871,33,75000.0,5.0,2.0,6.0,0.5,0.5,40.0,-20.0,5.0,10.0,0.0,-10.0,0,31-35,"N50,000 - N100,000",Bank K,Male,,Abuja,Master's Degree,Civil/Public Servant,No,,
2872,33,75000.0,7.0,2.0,6.0,0.5,0.5,50.0,0.0,15.0,10.0,0.0,-10.0,0,31-35,"N50,000 - N100,000",Bank D,Male,Bank K,Abuja,Master's Degree,Civil/Public Servant,No,,
2883,38,375000.0,4.0,2.0,6.0,0.5,6.0,40.0,20.0,40.0,20.0,36.0,10.0,3,36-40,"N251,000 - N500,000",Bank B,Male,Bank K,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2885,50.5,75000.0,10.0,6.0,30.0,0.5,2.0,80.0,40.0,80.0,40.0,40.0,20.0,3,41-60,"N50,000 - N100,000",Bank J,Male,Bank J,Abuja,Master's Degree,Civil/Public Servant,No,,
2886,50.5,75000.0,15.0,6.0,30.0,0.5,2.0,80.0,40.0,80.0,40.0,40.0,20.0,2,41-60,"N50,000 - N100,000",Bank H,Male,Bank J,Abuja,Master's Degree,Civil/Public Servant,No,,
2895,38,75000.0,7.0,2.0,6.0,0.5,0.5,63.0,30.0,85.0,32.0,16.0,0.0,3,36-40,"N50,000 - N100,000",Bank D,Male,Bank D,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
2921,19,25000.0,4.0,6.0,6.0,0.5,0.0,40.0,20.0,60.0,20.0,20.0,10.0,0,18-20,"Below N50,000",Bank N,Male,Bank N,Abuja,Secondary school leaving certificate,Student,No,,
2922,33,25000.0,10.0,6.0,6.0,0.5,0.0,40.0,20.0,60.0,20.0,20.0,10.0,0,31-35,"Below N50,000",Bank L,Female,Bank L,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2923,33,25000.0,5.0,6.0,6.0,0.5,0.0,40.0,20.0,60.0,20.0,20.0,10.0,0,31-35,"Below N50,000",Bank N,Female,Bank L,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2924,19,25000.0,6.0,0.5,6.0,0.5,0.0,55.0,20.0,80.0,30.0,30.0,15.0,3,18-20,"Below N50,000",Bank F,Female,Bank F,Abuja,Bachelor's Decree,Student,No,,
2925,19,25000.0,4.0,0.5,6.0,0.5,0.0,60.0,30.0,90.0,30.0,30.0,15.0,3,18-20,"Below N50,000",Bank L,Male,Bank L,Abuja,OND/HND,Student,No,,
2930,25.5,25000.0,8.0,0.5,2.0,6.0,6.0,-14.0,-12.0,-16.0,18.0,14.0,30.0,0,21-30,"Below N50,000",Bank A,Male,Bank A,Abuja,No Formal Education,Private Sector Employee,Yes,Bank A,Bank J
2932,33,25000.0,9.0,2.0,2.0,2.0,0.0,54.0,19.0,56.0,0.0,0.0,7.0,0,31-35,"Below N50,000",Bank L,Male,Bank L,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2933,33,25000.0,6.0,2.0,2.0,2.0,0.0,9.0,9.0,-1.0,1.0,-19.0,-7.0,0,31-35,"Below N50,000",Bank G,Male,Bank L,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2934,19,25000.0,2.0,2.0,2.0,0.0,2.0,8.0,19.0,54.0,0.0,7.0,-7.0,0,18-20,"Below N50,000",Bank J,Female,Bank J,Abuja,Secondary school leaving certificate,Student,Yes,Bank J,Bank B
2937,33,25000.0,13.0,2.0,6.0,2.0,2.0,19.0,36.0,52.0,0.0,-17.0,0.0,0,31-35,"Below N50,000",Bank D,Male,Bank D,Abuja,OND/HND,Self Employed,No,,
2938,25.5,25000.0,2.0,0.5,6.0,0.5,0.5,6.0,7.0,-7.0,17.0,19.0,-10.0,0,21-30,"Below N50,000",Bank N,Male,Bank N,Abuja,Secondary school leaving certificate,Student,No,,
2939,25.5,25000.0,6.0,0.5,6.0,0.5,0.5,6.0,21.0,-19.0,-12.0,31.0,10.0,0,21-30,"Below N50,000",Bank C,Male,Bank N,Abuja,Secondary school leaving certificate,Student,No,,
2940,65,750000.0,10.0,2.0,6.0,30.0,0.5,68.0,25.0,-8.0,60.0,40.0,30.0,2,Above 60,"N501,000 - N1 Million",Bank L,Female,Bank B,Abuja,PHD,Civil/Public Servant,No,,
2941,65,750000.0,25.0,2.0,6.0,30.0,0.5,102.0,34.0,-18.0,40.0,40.0,30.0,2,Above 60,"N501,000 - N1 Million",Bank B,Female,Bank B,Abuja,PHD,Civil/Public Servant,No,,
2942,65,750000.0,5.0,2.0,6.0,30.0,0.5,102.0,34.0,32.0,60.0,40.0,30.0,2,Above 60,"N501,000 - N1 Million",,Female,Bank B,Abuja,PHD,Civil/Public Servant,No,,
2943,19,25000.0,3.0,2.0,6.0,6.0,6.0,6.0,0.0,-54.0,60.0,15.0,7.0,0,18-20,"Below N50,000",Bank F,Female,Bank F,Abuja,OND/HND,Student,Yes,Bank F,Bank H
2944,50.5,75000.0,10.0,0.5,6.0,6.0,0.0,-5.0,0.0,29.0,37.0,6.0,-10.0,0,41-60,"N50,000 - N100,000",Bank L,Female,Bank L,Abuja,No Formal Education,Self Employed,No,,
2945,50.5,75000.0,10.0,0.5,6.0,6.0,0.0,-5.0,12.0,17.0,23.0,39.0,30.0,2,41-60,"N50,000 - N100,000",Bank M,Female,Bank L,Abuja,No Formal Education,Self Employed,No,,
2946,38,75000.0,7.0,2.0,6.0,6.0,0.0,25.0,-6.0,-10.0,40.0,7.0,10.0,0,36-40,"N50,000 - N100,000",Bank H,Male,Bank H,Abuja,Master's Degree,Private Sector Employee,Yes,,
2947,38,75000.0,10.0,2.0,6.0,6.0,0.0,15.0,-1.0,66.0,50.0,21.0,10.0,2,36-40,"N50,000 - N100,000",Bank N,Male,Bank H,Abuja,Master's Degree,Private Sector Employee,Yes,,
2949,25.5,25000.0,4.0,2.0,6.0,0.0,6.0,29.0,14.0,-16.0,13.0,0.0,0.0,0,21-30,"Below N50,000",Bank N,Female,Bank N,Abuja,OND/HND,Student,Yes,Bank N,Bank L
2951,33,25000.0,8.0,2.0,6.0,6.0,0.0,43.0,0.0,72.0,28.0,20.0,-8.0,0,31-35,"Below N50,000",Bank D,Female,Bank D,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2952,19,25000.0,2.0,2.0,6.0,0.0,6.0,14.0,-9.0,18.0,-9.0,0.0,-7.0,0,18-20,"Below N50,000",Bank L,Male,Bank L,Abuja,Secondary school leaving certificate,Student,No,,
2954,25.5,25000.0,5.0,2.0,6.0,2.0,6.0,16.0,0.0,40.0,16.0,0.0,0.0,0,21-30,"Below N50,000",Bank J,Male,Bank J,Abuja,OND/HND,Private Sector Employee,No,,
2955,25.5,25000.0,2.0,2.0,6.0,0.0,6.0,15.0,23.0,23.0,-9.0,-16.0,6.0,0,21-30,"Below N50,000",Bank J,Male,Bank J,Abuja,Secondary school leaving certificate,Student,No,,
2956,33,75000.0,19.0,2.0,6.0,2.0,2.0,14.0,9.0,-11.0,26.0,0.0,0.0,0,31-35,"N50,000 - N100,000",Bank J,Female,Bank C,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
2957,33,75000.0,7.0,2.0,6.0,2.0,2.0,16.0,-19.0,0.0,-17.0,0.0,0.0,0,31-35,"N50,000 - N100,000",Bank C,Female,Bank C,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
2958,19,25000.0,2.0,2.0,2.0,0.0,0.0,6.0,-2.0,6.0,-15.0,0.0,-8.0,0,18-20,"Below N50,000",Bank H,Male,Bank H,Abuja,Secondary school leaving certificate,Student,No,,
2970,33,75000.0,10.0,0.5,6.0,0.5,0.0,40.0,20.0,60.0,30.0,30.0,15.0,3,31-35,"N50,000 - N100,000",Bank C,Male,Bank C,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
2971,33,75000.0,8.0,0.5,2.0,0.5,0.0,60.0,30.0,90.0,30.0,30.0,15.0,3,31-35,"N50,000 - N100,000",Bank G,Female,Bank N,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2979,25.5,25000.0,6.0,2.0,2.0,2.0,2.0,60.0,16.0,65.0,17.0,26.0,7.0,3,21-30,"Below N50,000",Bank B,Male,Bank B,Abuja,OND/HND,Self Employed,No,,
2980,19,25000.0,2.0,2.0,6.0,2.0,0.0,25.0,22.0,45.0,0.0,0.0,16.0,0,18-20,"Below N50,000",Bank C,Female,Bank C,Abuja,Secondary school leaving certificate,Student,No,,
2981,33,25000.0,13.0,2.0,6.0,2.0,2.0,59.0,8.0,34.0,15.0,32.0,16.0,2,31-35,"Below N50,000",Bank L,Female,Bank L,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2985,33,25000.0,10.0,2.0,6.0,2.0,0.0,53.0,27.0,69.0,21.0,15.0,0.0,0,31-35,"Below N50,000",Bank B,Female,Bank B,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2986,25.5,25000.0,7.0,2.0,2.0,0.0,2.0,53.0,30.0,78.0,34.0,26.0,8.0,3,21-30,"Below N50,000",Bank L,Male,Bank L,Abuja,OND/HND,Student,Yes,Bank L,Bank A
2987,38,175000.0,11.0,2.0,6.0,6.0,6.0,27.0,0.0,36.0,17.0,20.0,8.0,0,36-40,"N101,000 - N250,000",Bank C,Female,Bank C,Abuja,Master's Degree,Civil/Public Servant,No,,
2988,38,175000.0,18.0,2.0,6.0,6.0,6.0,74.0,36.0,108.0,34.0,40.0,16.0,2,36-40,"N101,000 - N250,000",Bank A,Female,Bank C,Abuja,Master's Degree,Civil/Public Servant,No,,
2989,19,25000.0,3.0,2.0,6.0,0.0,0.0,40.0,16.0,32.0,16.0,0.0,0.0,0,18-20,"Below N50,000",Bank L,Male,Bank L,Abuja,Secondary school leaving certificate,Student,No,,
2990,19,25000.0,1.0,2.0,2.0,0.0,0.0,14.0,-14.0,0.0,-18.0,-14.0,-8.0,0,18-20,"Below N50,000",Bank L,Female,Bank L,Abuja,Secondary school leaving certificate,Student,No,,
2992,19,25000.0,3.0,2.0,2.0,0.0,2.0,23.0,30.0,43.0,25.0,23.0,0.0,0,18-20,"Below N50,000",Bank C,Male,Bank C,Abuja,Secondary school leaving certificate,Student,No,,
2994,19,25000.0,3.0,6.0,6.0,0.0,0.0,-14.0,-10.0,-42.0,-20.0,14.0,10.0,0,18-20,"Below N50,000",Bank C,Female,Bank C,Abuja,OND/HND,Private Sector Employee,No,,
2995,25.5,25000.0,5.0,2.0,2.0,2.0,6.0,-16.0,7.0,-29.0,-9.0,-16.0,0.0,0,21-30,"Below N50,000",Bank Q,Male,,Abuja,OND/HND,Private Sector Employee,No,,
2996,25.5,25000.0,7.0,2.0,2.0,2.0,6.0,48.0,23.0,62.0,27.0,16.0,7.0,3,21-30,"Below N50,000",Bank C,Male,,Abuja,OND/HND,Private Sector Employee,No,,
2997,25.5,25000.0,6.0,2.0,6.0,2.0,6.0,50.0,0.0,26.0,34.0,8.0,7.0,0,21-30,"Below N50,000",Bank D,Male,Bank D,Abuja,Bachelor's Decree,Self Employed,No,,
2998,33,75000.0,6.0,2.0,6.0,2.0,2.0,56.0,27.0,92.0,8.0,8.0,7.0,0,31-35,"N50,000 - N100,000",Bank B,Female,Bank B,Abuja,Bachelor's Decree,Private Sector Employee,No,,
2999,33,75000.0,3.0,2.0,6.0,2.0,2.0,2.0,-18.0,-38.0,0.0,-16.0,0.0,0,31-35,"N50,000 - N100,000",Bank K,Female,Bank B,Abuja,Bachelor's Decree,Private Sector Employee,No,,
3000,25.5,25000.0,4.0,2.0,2.0,0.0,2.0,17.0,34.0,90.0,0.0,26.0,0.0,0,21-30,"Below N50,000",Bank L,Male,Bank L,Abuja,OND/HND,Self Employed,No,,
3001,33,75000.0,11.0,2.0,6.0,2.0,6.0,57.0,8.0,31.0,25.0,20.0,0.0,0,31-35,"N50,000 - N100,000",Bank B,Male,Bank B,Abuja,Bachelor's Decree,Private Sector Employee,No,,
3002,33,75000.0,3.0,2.0,6.0,2.0,6.0,-10.0,-16.0,-32.0,0.0,-20.0,-8.0,0,31-35,"N50,000 - N100,000",Bank E,Male,Bank B,Abuja,Bachelor's Decree,Private Sector Employee,No,,
3005,38,25000.0,15.0,0.5,6.0,0.5,0.0,32.0,19.0,55.0,8.0,8.0,9.0,2,36-40,"Below N50,000",Bank L,Male,Bank C,Abuja,Bachelor's Decree,Private Sector Employee,No,,
3006,38,25000.0,10.0,0.5,6.0,0.5,0.0,0.0,0.0,47.0,8.0,9.0,0.0,0,36-40,"Below N50,000",Bank C,Male,Bank C,Abuja,Bachelor's Decree,Private Sector Employee,No,,
3008,19,25000.0,2.0,2.0,2.0,0.0,0.0,23.0,25.0,39.0,8.0,0.0,8.0,0,18-20,"Below N50,000",Bank G,Male,Bank G,Abuja,Secondary school leaving certificate,Student,No,,
3010,19,25000.0,3.0,2.0,6.0,2.0,2.0,50.0,30.0,33.0,0.0,18.0,0.0,0,18-20,"Below N50,000",Bank L,Female,Bank L,Abuja,Secondary school leaving certificate,Student,No,,
3011,19,25000.0,2.0,2.0,6.0,2.0,2.0,25.0,18.0,65.0,38.0,24.0,0.0,0,18-20,"Below N50,000",Bank B,Female,Bank B,Abuja,Secondary school leaving certificate,Student,No,,
3012,25.5,25000.0,4.0,2.0,2.0,0.0,2.0,16.0,36.0,79.0,27.0,16.0,0.0,0,21-30,"Below N50,000",Bank J,Male,Bank J,Abuja,Secondary school leaving certificate,Student,Yes,Bank J,Bank L
3013,25.5,25000.0,5.0,2.0,2.0,2.0,2.0,9.0,0.0,-16.0,24.0,16.0,8.0,0,21-30,"Below N50,000",Bank D,Female,Bank D,Abuja,Secondary school leaving certificate,Student,No,,
3014,25.5,25000.0,6.0,2.0,2.0,2.0,6.0,48.0,16.0,79.0,15.0,28.0,0.0,0,21-30,"Below N50,000",Bank N,Male,Bank E,Abuja,Secondary school leaving certificate,Private Sector Employee,No,,
3015,25.5,25000.0,4.0,2.0,2.0,2.0,6.0,10.0,0.0,-36.0,-15.0,-7.0,0.0,0,21-30,"Below N50,000",Bank E,Male,Bank E,Abuja,Secondary school leaving certificate,Private Sector Employee,No,,
3017,25.5,25000.0,6.0,2.0,6.0,2.0,0.0,64.0,16.0,44.0,24.0,0.0,0.0,0,21-30,"Below N50,000",Bank G,Male,Bank G,Abuja,OND/HND,Private Sector Employee,No,,
3020,25.5,25000.0,5.0,2.0,6.0,2.0,0.0,8.0,8.0,35.0,0.0,7.0,0.0,0,21-30,"Below N50,000",Bank N,Male,Bank N,Abuja,OND/HND,Unemployed,No,,
3021,33,75000.0,8.0,2.0,6.0,2.0,2.0,41.0,20.0,33.0,8.0,9.0,8.0,0,31-35,"N50,000 - N100,000",Bank D,Female,Bank D,Abuja,OND/HND,Private Sector Employee,No,,
3022,38,75000.0,9.0,2.0,6.0,2.0,2.0,40.0,20.0,60.0,10.0,10.0,0.0,0,36-40,"N50,000 - N100,000",Bank C,Male,Bank C,Abuja,Bachelor's Decree,Private Sector Employee,No,,
3023,33,25000.0,13.0,2.0,6.0,2.0,0.0,1.0,14.0,-8.0,-8.0,7.0,6.0,0,31-35,"Below N50,000",Bank D,Male,Bank D,Abuja,Secondary school leaving certificate,Private Sector Employee,No,,
3024,33,75000.0,7.0,2.0,6.0,6.0,6.0,45.0,10.0,49.0,0.0,9.0,18.0,0,31-35,"N50,000 - N100,000",Bank A,Male,Bank A,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
3025,33,75000.0,5.0,2.0,6.0,6.0,6.0,10.0,0.0,30.0,18.0,0.0,0.0,0,31-35,"N50,000 - N100,000",Bank L,Male,Bank A,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
3026,19,25000.0,3.0,2.0,6.0,2.0,0.0,41.0,18.0,67.0,17.0,0.0,-9.0,0,18-20,"Below N50,000",Bank L,Female,Bank L,Abuja,Secondary school leaving certificate,Student,No,,
3028,25.5,25000.0,6.0,2.0,6.0,0.0,0.0,19.0,8.0,52.0,8.0,27.0,8.0,0,21-30,"Below N50,000",Bank N,Male,Bank N,Abuja,Secondary school leaving certificate,Student,No,,
3029,38,75000.0,16.0,2.0,6.0,2.0,0.0,51.0,8.0,36.0,38.0,24.0,0.0,2,36-40,"N50,000 - N100,000",Bank N,Male,Bank N,Abuja,Bachelor's Decree,Private Sector Employee,No,,
3030,38,75000.0,8.0,2.0,6.0,2.0,0.0,50.0,8.0,19.0,20.0,0.0,0.0,0,36-40,"N50,000 - N100,000",Bank M,Male,Bank N,Abuja,Bachelor's Decree,Private Sector Employee,No,,
3033,33,25000.0,7.0,2.0,2.0,2.0,2.0,59.0,20.0,63.0,24.0,36.0,16.0,3,31-35,"Below N50,000",Bank G,Female,Bank G,Abuja,Secondary school leaving certificate,Self Employed,Yes,Bank G,Bank J
3034,19,25000.0,2.0,2.0,6.0,2.0,2.0,34.0,25.0,95.0,9.0,24.0,8.0,0,18-20,"Below N50,000",Bank N,Male,Bank N,Abuja,Secondary school leaving certificate,Student,No,,
3035,25.5,25000.0,6.0,2.0,6.0,2.0,2.0,18.0,8.0,33.0,17.0,18.0,16.0,0,21-30,"Below N50,000",Bank L,Female,Bank L,Abuja,Secondary school leaving certificate,Student,No,,
3038,19,25000.0,4.0,6.0,6.0,2.0,2.0,25.0,0.0,-8.0,-8.0,9.0,-9.0,0,18-20,"Below N50,000",Bank L,Female,Bank L,Abuja,Secondary school leaving certificate,Student,No,,
3039,33,75000.0,14.0,2.0,6.0,2.0,2.0,38.0,0.0,36.0,30.0,26.0,9.0,2,31-35,"N50,000 - N100,000",Bank B,Female,Bank C,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
3040,33,75000.0,8.0,2.0,6.0,2.0,2.0,20.0,-9.0,-10.0,-20.0,0.0,0.0,0,31-35,"N50,000 - N100,000",Bank C,Female,Bank C,Abuja,Bachelor's Decree,Civil/Public Servant,No,,
3041,33,175000.0,8.0,2.0,6.0,2.0,0.0,45.0,26.0,6.0,0.0,-9.0,0.0,0,31-35,"N101,000 - N250,000",Bank H,Male,Bank H,Abuja,Master's Degree,Civil/Public Servant,No,,
3042,33,175000.0,12.0,2.0,6.0,2.0,0.0,66.0,26.0,89.0,-8.0,0.0,0.0,0,31-35,"N101,000 - N250,000",Bank D,Male,Bank H,Abuja,Master's Degree,Civil/Public Servant,No,,
